mention_id,source_entry_id,source_entry_type,name_raw,name_key,role,person_entry_id,resolution,n_candidates,page,page_url,evidence
M000001,L1912-00085,organisation,Jules Bessis,JULES BESSIS,president,,ambiguous,2,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"Président : M. Jules Bessis, banquiers"
M000002,L1912-00085,organisation,B Léger,B LEGER,vice_president,L1912-01601,resolved,1,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"vice-présidents : MM. B. Léger, lieutenant des pompiers"
M000003,L1912-00085,organisation,A Ilalfon,A ILALFON,treasurer,,unmatched,0,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"trésorier : M. A. Ilalfon, employé à la Municipalité"
M000004,L1912-00085,organisation,Joseph Cohen,JOSEPH COHEN,secretary,,ambiguous,5,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"Secrétaire : M. Joseph Cohen, professeur"
M000005,L1912-00085,organisation,I-Iavoun,I IAVOUN,deputy_treasurer,,unmatched,0,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"trésorier-adjoint : M. I-Iavoun, employé"
M000006,L1912-00085,organisation,G Bellaïche,G BELLAICHE,deputy_secretary,L1912-00271,resolved_fuzzy,1,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"secrétaire-adjoint : M. G. Bellaïche, employé"
M000007,L1912-00085,organisation,Victor Slama,VICTOR SLAMA,assessor,,unmatched,0,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"assesseurs : MM. Victor Slama, propriétaire, Arthur Sitbon, employé à la"
M000008,L1912-00085,organisation,Arthur Sitbon,ARTHUR SITBON,assessor,L1912-02391,resolved,1,10,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f34.item,"assesseurs : MM. Victor Slama, propriétaire, Arthur Sitbon, employé à la"
M000009,L1912-00139,organisation,Ferdinand Huard,FERDINAND HUARD,president,L1912-01428,resolved,1,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"Médaille d'or à l'Exposition Coloniale de Marseille en 1906. Médaille d'argent à l'Exposition des oeuvres sociales au Grand Palais, à Tunis, en 1905. Prés, gén., M. Ferdinand Huard"
M000010,L1912-00139,organisation,Villot-Beauchemin,VILLOT BEAUCHEMIN,president,L1912-02688,resolved_fuzzy,1,32,https://gallica.bnf.fr/ark:/12148/bpt6k5505300s/f56.item,"vi-prés. gén., M. de Villot-Beauchemin, ingénieur, directeur-adjoint des Travaux de la Ville de Tunis, et M. Graziani, inspecteur des Domaines à la Direction de l'Agriculture, Tuni"
